"work_year","job_title","company_size","employment_type","avg_salary_EN","avg_salary_MI","avg_salary_SE","avg_salary_EX"
2021,"Principal Data Engineer","M","FT",NA,NA,2e+05,NA
2021,"Principal Data Scientist","S","CT",NA,NA,NA,416000
2021,"Principal Data Scientist","L","FT",NA,151000,227500,NA
2021,"Principal Data Scientist","M","FT",NA,NA,173762,NA
2021,"Research Scientist","L","FT",91264,128720.5,78435,NA
2021,"Research Scientist","M","FT",NA,63229.5,NA,NA
2021,"Research Scientist","S","FT",NA,56738,50000,NA
2021,"Staff Data Scientist","M","CT",NA,NA,105000,NA
2021,"Staff Machine Learning Engineer","M","FT",NA,NA,185000,NA
2022,"AI Architect","M","FT",NA,NA,180000,NA
2022,"AI Developer","S","FT",NA,NA,275000,NA
2022,"AI Engineer","L","FT",NA,107093,NA,NA
2022,"AI Programmer","M","FT",40000,NA,NA,NA
2022,"AI Research Engineer","L","FT",36940,NA,NA,NA
2022,"AI Scientist","L","FT",2e+05,2e+05,125000,NA
2022,"AI Scientist","M","FT",40760,160000,NA,NA
2022,"AI Scientist","S","FT",NA,NA,NA,2e+05
2022,"Admin & Data Analyst","M","FT",NA,NA,60000,NA
2022,"Analytics Engineer","L","FT",130000,NA,NA,NA
2022,"Analytics Engineer","M","FT",NA,97404.3,149414.105263158,171166.666666667
2022,"Analytics Engineer","S","FT",NA,NA,48000,NA
2022,"Applied Data Scientist","M","FT",45000,NA,NA,NA
2022,"Applied Data Scientist","L","FT",NA,157000,278500,NA
2022,"Applied Machine Learning Scientist","M","CT",30469,NA,NA,NA
2022,"Applied Machine Learning Scientist","L","CT",NA,97712,NA,NA
2022,"Applied Machine Learning Scientist","L","FT",NA,75000,92559.5,NA
2022,"Applied Machine Learning Scientist","M","FT",NA,124000,150000,NA
2022,"Applied Machine Learning Scientist","S","FL",NA,30523,NA,NA
2022,"Applied Scientist","M","FT",NA,NA,188311.111111111,NA
2022,"BI Analyst","L","FT",76000,NA,NA,NA
2022,"BI Analyst","M","FT",NA,63000,25804,NA
2022,"BI Analyst","S","FT",NA,NA,2e+05,NA
2022,"BI Data Analyst","L","FT",58969,45050,NA,NA
2022,"BI Data Analyst","M","FT",NA,79217,NA,NA
2022,"BI Data Analyst","S","FT",NA,50432,NA,NA
2022,"BI Developer","L","FT",NA,NA,130000,NA
2022,"BI Developer","M","FT",NA,NA,130000,NA
2022,"Big Data Engineer","M","FT",NA,NA,161311,NA
2022,"Business Data Analyst","L","FT",49000,79149,1e+05,NA
2022,"Business Data Analyst","M","FT",NA,17805,NA,NA
2022,"Business Intelligence Developer","M","FT",NA,15000,NA,NA
2022,"Cloud Database Engineer","M","FT",NA,NA,175000,NA
2022,"Computer Vision Engineer","M","FT",125000,15897,60000,NA
2022,"Computer Vision Engineer","S","FT",NA,58837,NA,NA
2022,"Computer Vision Software Engineer","S","FT",150000,NA,NA,NA
2022,"Data Analyst","L","FT",60714.2857142857,96833.3333333333,143000,NA
